Date,Transaction Type,Amount,Category,Balance,Description
2018-01-01,Deposit,1050,Sponsorship,0,Deposit for Sponsorship
2018-01-02,Deposit,2119,Sponsorship,1139,Deposit for Sponsorship
2018-01-04,Withdrawal,2697,Memberships,2303,Withdrawal for Memberships
2018-01-05,Withdrawal,2510,Loan Payments,0,Withdrawal for Loan Payments
2018-01-05,Withdrawal,346,Rent,3095,Withdrawal for Rent
2018-01-05,Deposit,476,Sponsorship,0,Deposit for Sponsorship
2018-01-07,Deposit,3729,Sponsorship,6032,Deposit for Sponsorship
2018-01-09,Deposit,1369,Donations,0,Deposit for Donations
2018-01-09,Withdrawal,2145,Payroll,2805,Withdrawal for Payroll
2018-01-10,Deposit,3398,Sales,2933,Deposit for Sales
2018-01-11,Withdrawal,745,Rent,0,Withdrawal for Rent
2018-01-11,Deposit,3268,Donations,2260,Deposit for Donations
2018-01-13,Withdrawal,1391,Office Supplies,0,Withdrawal for Office Supplies
2018-01-13,Withdrawal,1480,Travel,1615,Withdrawal for Travel
2018-01-17,Withdrawal,2978,Memberships,0,Withdrawal for Memberships
2018-01-18,Deposit,849,Sponsorship,0,Deposit for Sponsorship
2018-01-18,Withdrawal,2687,Payroll,0,Withdrawal for Payroll
2018-01-19,Withdrawal,1414,Professional Services,846,Withdrawal for Professional Services
2018-01-19,Withdrawal,1082,Insurance,4950,Withdrawal for Insurance
2018-01-21,Withdrawal,1254,Professional Services,1679,Withdrawal for Professional Services
2018-01-22,Deposit,636,Sponsorship,3441,Deposit for Sponsorship
2018-01-22,Withdrawal,281,Professional Services,0,Withdrawal for Professional Services
2018-01-22,Deposit,460,Sales,0,Deposit for Sales
2018-01-23,Deposit,3226,Sales,0,Deposit for Sales
2018-01-24,Deposit,1877,Sponsorship,0,Deposit for Sponsorship
2018-01-24,Withdrawal,2540,Inventory,0,Withdrawal for Inventory
2018-01-25,Withdrawal,2959,Loan Payments,0,Withdrawal for Loan Payments
2018-01-25,Withdrawal,1354,Travel,0,Withdrawal for Travel
2018-01-27,Deposit,809,Sponsorship,0,Deposit for Sponsorship
2018-01-28,Withdrawal,2914,Insurance,0,Withdrawal for Insurance
2018-02-01,Withdrawal,1260,Office Supplies,1530,Withdrawal for Office Supplies
2018-02-01,Deposit,266,Sales,7552,Deposit for Sales
2018-02-01,Withdrawal,1650,Loan Payments,5185,Withdrawal for Loan Payments
2018-02-02,Withdrawal,1418,Office Supplies,2047,Withdrawal for Office Supplies
2018-02-02,Withdrawal,2839,Taxes,0,Withdrawal for Taxes
2018-02-03,Deposit,244,Sponsorship,5705,Deposit for Sponsorship
2018-02-03,Withdrawal,636,Utilities,2790,Withdrawal for Utilities
2018-02-04,Deposit,359,Sales,2503,Deposit for Sales
2018-02-07,Deposit,1184,Donations,4102,Deposit for Donations
2018-02-10,Withdrawal,1384,Office Supplies,1481,Withdrawal for Office Supplies
2018-02-11,Withdrawal,2925,Office Supplies,2075,Withdrawal for Office Supplies
2018-02-11,Withdrawal,760,Maintenance,2144,Withdrawal for Maintenance
2018-02-11,Withdrawal,2540,Maintenance,1562,Withdrawal for Maintenance
2018-02-13,Withdrawal,813,Marketing,668,Withdrawal for Marketing
2018-02-13,Deposit,4783,Sales,7286,Deposit for Sales
2018-02-13,Withdrawal,1722,Insurance,1903,Withdrawal for Insurance
2018-02-16,Deposit,4231,Donations,3426,Deposit for Donations
2018-02-21,Withdrawal,1560,Maintenance,3625,Withdrawal for Maintenance
2018-02-21,Withdrawal,1361,Insurance,542,Withdrawal for Insurance
2018-02-22,Withdrawal,2091,Marketing,5461,Withdrawal for Marketing
2018-02-23,Withdrawal,466,Rent,76,Withdrawal for Rent
2018-02-24,Deposit,3240,Sales,477,Deposit for Sales
2018-02-24,Deposit,4788,Sponsorship,6835,Deposit for Sponsorship
2018-02-26,Withdrawal,1473,Loan Payments,0,Withdrawal for Loan Payments
2018-02-27,Withdrawal,2823,Office Supplies,2918,Withdrawal for Office Supplies
2018-02-28,Deposit,2427,Donations,2904,Deposit for Donations
2018-02-28,Deposit,3310,Donations,5741,Deposit for Donations
2018-02-28,Deposit,901,Donations,2431,Deposit for Donations
2018-02-28,Deposit,790,Donations,2865,Deposit for Donations
2018-02-28,Deposit,1903,Sponsorship,3465,Deposit for Sponsorship
